"net_id","net_lakes_n","net_averagelakedistance_km","net_averagelakearea_ha","net_dams_n","net_avgorder","net_maxorder","net_minorder","net_rangeorder","vertices_count","edges_count","artic_count","max_cliques","mean_degree_norm","far_vert_1","far_vert_2","far_vert_dist","edge_conn","edge_dens","min_cut","far_min_cut","strength","minlat_id","maxlat_id","minlon_id","maxlon_id","maxkmNS","maxkmEW","min_cut_lat","min_cut_lon","maxlon_dist","maxlat_dist","latavg","lonavg"
179,3,16.049,8.428,0,1,2,1,1,3,2,1,2,0.666666667,461165,461913,32.097,1,0.666666667,1,1,21.398,462358,461913,461165,461913,20.30137159,5.061846592,1,1,0.066032401,0.183599866,46.47889834,-119.0705694
860,2,0.898,14.97,0,3,3,3,0,2,1,0,1,1,461719,461174,0.898,1,1,1,1,0.898,461719,461174,461719,461174,0.360866082,0.804362905,1,1,0.010654298,0.003263571,47.29707691,-119.0483578
747,2,0.3,69.93,0,2,2,2,0,2,1,0,1,1,461494,461224,0.3,1,1,1,1,0.3,461224,461494,461224,461494,1.373482426,1.114254976,1,1,0.014820975,0.012421387,47.51773394,-117.7022633
669,2,0.506,17.106,2,2,3,2,1,2,1,0,1,1,461301,461300,0.506,1,1,1,1,0.506,461301,461300,461300,461301,0.471210001,1.373756603,1,1,0.018041842,0.00426149,46.84278886,-119.8439075
404,4,3.514,7.002,0,1,2,1,1,4,3,2,3,0.5,461585,461344,10.542,1,0.5,1,1,5.271,461344,461585,461585,461344,10.40290549,2.889379973,1,1,0.039347031,0.094080937,48.72589743,-119.5308341
408,2,1.953,8.263,0,0,1,0,1,2,1,0,1,1,461589,462034,1.953,1,1,1,1,1.953,461589,462034,462034,461589,0.806856973,1.345229143,1,1,0.018120912,0.007296986,48.17360126,-119.5329548
410,10,68.115,68.476,1,2,6,1,5,10,31,1,2,0.688888889,463528,463543,252.944,2,0.688888889,2,2,422.3156,463528,463637,463666,463543,26.26959891,124.7497141,7,2,1.554093219,0.237574827,43.85432771,-113.7722362
637,2,1.875,2.967,0,3,3,3,0,2,1,0,1,1,463056,463212,1.875,1,1,1,1,1.875,463212,463056,463212,463056,0.167177612,1.838797016,1,1,0.022759233,0.001511907,43.46623083,-114.2053348
425,2,12.561,3.762,0,2,3,1,2,2,1,0,1,1,464751,464884,12.561,1,1,1,1,12.561,464751,464884,464751,464884,6.038594758,1.349698686,1,1,0.016655363,0.054611344,43.28379437,-118.0841993
872,2,2.566,88.596,0,2,2,2,0,2,1,0,1,1,466671,467297,2.566,1,1,1,1,2.566,467297,466671,467297,466671,2.686641786,1.951005185,1,1,0.024350744,0.024297229,43.96707288,-121.8117603
